word,english,case,ru_sentence,en_sentence,advanced
под,(impression),inst,Он как будто под наркотиками.,He looks like he's on drugs.,
с,with,inst,Он живет с мамой.,He lives with his mother.,
в,in,prep,Коты любят лежать в коробках.,Cats like to lie in boxes.,
в,on,prep,В субботу мы прибудем в Бостон.,"On Saturday, we will arrive in Boston.",
в,at,prep,"В полдень, я обедаю.","At noon, I have lunch.",
на,on (place),prep,Ваза стоит на столе.,The vase is on the table.,
на,on (day/week),prep,На следующий день он не пришел на работу.,"The following day, he didn't show up at work.",
на,on (transport),prep,Мы ездим в школу на автобусе.,We go to school by bus.,
на,at (location),prep,"Он на работе, а не в баре.","He is at work, not at a bar.",
о,about,prep,О чем этот фильм?,What's this film about?,
о,of,prep,Он продолжает думать о ней.,He keeps thinking of her.,
о,on (subject),prep,Книга об истории Индии.,A book on Indian history.,
при,at,prep,Мы пообедали в кафе при гостинице.,We had lunch in the cafe at the hotel.,
при,in the presence of,prep,Не ругайся при детях!,Don't swear in front of the children!,
при,in the time of,prep,Россия при Петре Первом.,Russia in the time of Peter the Great.,
при,with,prep,При ней не было денег.,She didn't have money with her.,x
при,(circumstantial),prep,При первых симптомах обратитесь к врачу.,"At the first symptoms, consult your doctor.",
